10 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,11 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,12 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,13 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,14 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,15 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,16 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,17 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,18 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,1 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,2 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,5 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,6 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,7 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,8 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,9 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz
0.563571 [3865 voxels],0.362362 [5681 voxels],0.353782 [5398 voxels],0.426963 [2257 voxels],0.352598 [2224 voxels],0.433582 [3910 voxels],0.432796 [3444 voxels],0.529966 [2406 voxels],0.467466 [2152 voxels],,,0.372855 [4171 voxels],0.392424 [4452 voxels],0.438345 [7753 voxels],0.468532 [7686 voxels],0.598881 [3274 voxels]
081,081,081,081,081,081,081,081,081,,,081,081,081,081,081
0.477992 [3865 voxels],0.381614 [5681 voxels],0.406504 [5398 voxels],0.431409 [2257 voxels],0.370537 [2224 voxels],0.412851 [3910 voxels],0.412545 [3444 voxels],0.504943 [2406 voxels],0.503147 [2152 voxels],,,0.359201 [4171 voxels],0.391222 [4452 voxels],0.376301 [7753 voxels],0.377531 [7686 voxels],0.508474 [3274 voxels]
082,082,082,082,082,082,082,082,082,,,082,082,082,082,082
0.499165 [3865 voxels],0.392621 [5681 voxels],0.388802 [5398 voxels],0.479361 [2257 voxels],0.397358 [2224 voxels],0.449648 [3910 voxels],0.457489 [3444 voxels],0.601898 [2406 voxels],0.541714 [2152 voxels],,,0.39359 [4171 voxels],0.407864 [4452 voxels],0.361686 [7753 voxels],0.391028 [7686 voxels],0.536182 [3274 voxels]
085,085,085,085,085,085,085,085,085,,,085,085,085,085,085
0.571331 [3865 voxels],0.462379 [5681 voxels],0.494209 [5398 voxels],0.537156 [2257 voxels],0.455955 [2224 voxels],0.491402 [3910 voxels],0.493307 [3444 voxels],0.639171 [2406 voxels],0.602323 [2152 voxels],,,0.34349 [4171 voxels],0.361031 [4452 voxels],0.429575 [7753 voxels],0.41793 [7686 voxels],0.555249 [3274 voxels]
086,086,086,086,086,086,086,086,086,,,086,086,086,086,086
0.437165 [3865 voxels],0.359595 [5681 voxels],0.350776 [5398 voxels],0.469755 [2257 voxels],0.389908 [2224 voxels],0.434529 [3910 voxels],0.3998 [3444 voxels],0.539992 [2406 voxels],0.504014 [2152 voxels],,,0.328183 [4171 voxels],0.333218 [4452 voxels],0.361897 [7753 voxels],0.337813 [7686 voxels],0.550619 [3274 voxels]
088,088,088,088,088,088,088,088,088,,,088,088,088,088,088
0.397265 [3865 voxels],0.340808 [5681 voxels],0.38578 [5398 voxels],0.471328 [2257 voxels],0.381713 [2224 voxels],0.397356 [3910 voxels],0.395613 [3444 voxels],0.504114 [2406 voxels],0.480107 [2152 voxels],,,0.362733 [4171 voxels],0.425544 [4452 voxels],0.378668 [7753 voxels],0.427007 [7686 voxels],0.480644 [3274 voxels]
089,089,089,089,089,089,089,089,089,,,089,089,089,089,089
0.629007 [3865 voxels],0.372723 [5681 voxels],0.390179 [5398 voxels],0.430794 [2257 voxels],0.395119 [2224 voxels],0.409198 [3910 voxels],0.443171 [3444 voxels],0.527454 [2406 voxels],0.577664 [2152 voxels],,,0.418941 [4171 voxels],0.424936 [4452 voxels],0.438039 [7753 voxels],0.501825 [7686 voxels],0.615147 [3274 voxels]
091,091,091,091,091,091,091,091,091,,,091,091,091,091,091
0.471829 [3865 voxels],0.438945 [5681 voxels],0.422346 [5398 voxels],0.575692 [2257 voxels],0.407817 [2224 voxels],0.601065 [3910 voxels],0.430734 [3444 voxels],0.493741 [2406 voxels],0.510728 [2152 voxels],,,0.330075 [4171 voxels],0.317338 [4452 voxels],0.381661 [7753 voxels],0.347322 [7686 voxels],0.559412 [3274 voxels]
095,095,095,095,095,095,095,095,095,,,095,095,095,095,095
0.484021 [3865 voxels],0.381305 [5681 voxels],0.395472 [5398 voxels],0.484106 [2257 voxels],0.401858 [2224 voxels],0.431774 [3910 voxels],0.422289 [3444 voxels],0.573492 [2406 voxels],0.525532 [2152 voxels],,,0.323562 [4171 voxels],0.314893 [4452 voxels],0.386723 [7753 voxels],0.370426 [7686 voxels],0.492404 [3274 voxels]
096,096,096,096,096,096,096,096,096,,,096,096,096,096,096
0.555354 [3865 voxels],0.362097 [5681 voxels],0.399133 [5398 voxels],0.449879 [2257 voxels],0.41715 [2224 voxels],0.431665 [3910 voxels],0.431669 [3444 voxels],0.560417 [2406 voxels],0.565819 [2152 voxels],,,0.398206 [4171 voxels],0.369632 [4452 voxels],0.446305 [7753 voxels],0.398283 [7686 voxels],0.701885 [3274 voxels]
098,098,098,098,098,098,098,098,098,,,098,098,098,098,098
0.510329 [3865 voxels],0.4569 [5681 voxels],0.452341 [5398 voxels],0.600908 [2257 voxels],0.450943 [2224 voxels],0.48469 [3910 voxels],0.463886 [3444 voxels],0.679237 [2406 voxels],0.578131 [2152 voxels],,,0.418288 [4171 voxels],0.355988 [4452 voxels],0.433061 [7753 voxels],0.401194 [7686 voxels],0.51751 [3274 voxels]
099,099,099,099,099,099,099,099,099,,,099,099,099,099,099
0.386797 [3865 voxels],0.407807 [5681 voxels],0.414933 [5398 voxels],0.530684 [2257 voxels],0.406954 [2224 voxels],0.463666 [3910 voxels],0.412075 [3444 voxels],0.6315 [2406 voxels],0.508302 [2152 voxels],,,0.338821 [4171 voxels],0.351945 [4452 voxels],0.400774 [7753 voxels],0.374317 [7686 voxels],0.485151 [3274 voxels]
100,100,100,100,100,100,100,100,100,,,100,100,100,100,100
0.55296 [3865 voxels],0.41012 [5681 voxels],0.41929 [5398 voxels],0.471349 [2257 voxels],0.408035 [2224 voxels],0.476742 [3910 voxels],0.446161 [3444 voxels],0.622197 [2406 voxels],0.554462 [2152 voxels],,,0.357472 [4171 voxels],0.411439 [4452 voxels],0.487618 [7753 voxels],0.460464 [7686 voxels],0.616459 [3274 voxels]
101,101,101,101,101,101,101,101,101,,,101,101,101,101,101
0.465428 [3865 voxels],0.373068 [5681 voxels],0.367037 [5398 voxels],0.410283 [2257 voxels],0.347048 [2224 voxels],0.431505 [3910 voxels],0.392573 [3444 voxels],0.508998 [2406 voxels],0.448139 [2152 voxels],,,0.493773 [4171 voxels],0.391653 [4452 voxels],0.415697 [7753 voxels],0.326996 [7686 voxels],0.562326 [3274 voxels]
102,102,102,102,102,102,102,102,102,,,102,102,102,102,102
0.319434 [3865 voxels],0.503599 [5681 voxels],0.481114 [5398 voxels],0.462776 [2257 voxels],0.383419 [2224 voxels],0.440175 [3910 voxels],0.387162 [3444 voxels],0.606101 [2406 voxels],0.506041 [2152 voxels],,,0.343323 [4171 voxels],0.388916 [4452 voxels],0.36729 [7753 voxels],0.382639 [7686 voxels],0.445134 [3274 voxels]
103,103,103,103,103,103,103,103,103,,,103,103,103,103,103
0.441978 [3865 voxels],0.380453 [5681 voxels],0.409543 [5398 voxels],0.427558 [2257 voxels],0.334303 [2224 voxels],0.433423 [3910 voxels],0.404098 [3444 voxels],0.507479 [2406 voxels],0.441375 [2152 voxels],,,0.475813 [4171 voxels],0.493723 [4452 voxels],0.422714 [7753 voxels],0.423435 [7686 voxels],0.496952 [3274 voxels]
104,104,104,104,104,104,104,104,104,,,104,104,104,104,104
0.44875 [3865 voxels],0.463996 [5681 voxels],0.428886 [5398 voxels],0.512056 [2257 voxels],0.389035 [2224 voxels],0.473114 [3910 voxels],0.421765 [3444 voxels],0.607194 [2406 voxels],0.504123 [2152 voxels],,,0.344539 [4171 voxels],0.366656 [4452 voxels],0.397089 [7753 voxels],0.371017 [7686 voxels],0.520721 [3274 voxels]
106,106,106,106,106,106,106,106,106,,,106,106,106,106,106
0.532046 [3865 voxels],0.357599 [5681 voxels],0.375311 [5398 voxels],0.457821 [2257 voxels],0.392622 [2224 voxels],0.42541 [3910 voxels],0.420187 [3444 voxels],0.552752 [2406 voxels],0.536151 [2152 voxels],,,0.348771 [4171 voxels],0.346383 [4452 voxels],0.384363 [7753 voxels],0.367993 [7686 voxels],0.587396 [3274 voxels]
107,107,107,107,107,107,107,107,107,,,107,107,107,107,107
0.480691 [3865 voxels],0.382012 [5681 voxels],0.426006 [5398 voxels],0.56981 [2257 voxels],0.498954 [2224 voxels],0.466713 [3910 voxels],0.443882 [3444 voxels],0.661707 [2406 voxels],0.6024 [2152 voxels],,,0.395836 [4171 voxels],0.423201 [4452 voxels],0.402144 [7753 voxels],0.429626 [7686 voxels],0.560574 [3274 voxels]
108,108,108,108,108,108,108,108,108,,,108,108,108,108,108
